Datum,Hazai csapat,Vendeg csapat,Haza csapat eredmeny,Vendeg csapat eredmeny,Bajnoksag
9/1/2021,Russia,Croatia,0,0,FIFA World Cup qualification
9/2/2021,Kyrgyzstan,Palestine,1,0,Three Nations Cup
9/2/2021,Niger,Burkina Faso,0,2,FIFA World Cup qualification
9/2/2021,Algeria,Djibouti,8,0,FIFA World Cup qualification
9/2/2021,Kenya,Uganda,0,0,FIFA World Cup qualification
9/2/2021,Namibia,Congo,1,1,FIFA World Cup qualification
9/2/2021,Morocco,Sudan,2,0,FIFA World Cup qualification
9/2/2021,DR Congo,Tanzania,1,1,FIFA World Cup qualification
9/2/2021,Madagascar,Benin,0,1,FIFA World Cup qualification
9/2/2021,South Korea,Iraq,0,0,FIFA World Cup qualification
9/2/2021,Iran,Syria,1,0,FIFA World Cup qualification
9/2/2021,United Arab Emirates,Lebanon,0,0,FIFA World Cup qualification
9/2/2021,Japan,Oman,0,1,FIFA World Cup qualification
9/2/2021,Australia,China PR,3,0,FIFA World Cup qualification
9/2/2021,Saudi Arabia,Vietnam,3,1,FIFA World Cup qualification
9/2/2021,Georgia,Kosovo,0,1,FIFA World Cup qualification
9/2/2021,Sweden,Spain,2,1,FIFA World Cup qualification
9/2/2021,Italy,Bulgaria,1,1,FIFA World Cup qualification
9/2/2021,Lithuania,Northern Ireland,1,4,FIFA World Cup qualification
9/2/2021,Czech Republic,Belarus,1,0,FIFA World Cup qualification
9/2/2021,Estonia,Belgium,2,5,FIFA World Cup qualification
9/2/2021,Andorra,San Marino,2,0,FIFA World Cup qualification
9/2/2021,Hungary,England,0,4,FIFA World Cup qualification
9/2/2021,Poland,Albania,4,1,FIFA World Cup qualification
9/2/2021,Iceland,Romania,0,2,FIFA World Cup qualification
9/2/2021,Liechtenstein,Germany,0,2,FIFA World Cup qualification
9/2/2021,North Macedonia,Armenia,0,0,FIFA World Cup qualification
9/2/2021,Bolivia,Colombia,1,1,FIFA World Cup qualification
9/2/2021,Ecuador,Paraguay,2,0,FIFA World Cup qualification
9/2/2021,Peru,Uruguay,1,1,FIFA World Cup qualification
9/2/2021,Venezuela,Argentina,1,3,FIFA World Cup qualification
9/2/2021,Chile,Brazil,0,1,FIFA World Cup qualification
9/2/2021,Canada,Honduras,1,1,FIFA World Cup qualification
9/2/2021,El Salvador,United States,0,0,FIFA World Cup qualification
9/2/2021,Panama,Costa Rica,0,0,FIFA World Cup qualification
9/2/2021,Mexico,Jamaica,2,1,FIFA World Cup qualification
9/3/2021,Mauritania,Zambia,1,2,FIFA World Cup qualification
9/3/2021,Tunisia,Equatorial Guinea,3,0,FIFA World Cup qualification
9/3/2021,Nigeria,Liberia,2,0,FIFA World Cup qualification
9/3/2021,Mozambique,Ivory Coast,0,0,FIFA World Cup qualification
9/3/2021,Cameroon,Malawi,2,0,FIFA World Cup qualification
9/3/2021,Zimbabwe,South Africa,0,0,FIFA World Cup qualification
9/3/2021,Ghana,Ethiopia,1,0,FIFA World Cup qualification
9/4/2021,Republic of Ireland,Azerbaijan,1,1,FIFA World Cup qualification
9/4/2021,Serbia,Luxembourg,4,1,FIFA World Cup qualification
9/4/2021,Finland,Kazakhstan,1,0,FIFA World Cup qualification
9/4/2021,Ukraine,France,1,1,FIFA World Cup qualification
9/4/2021,Faroe Islands,Denmark,0,1,FIFA World Cup qualification
9/4/2021,Scotland,Moldova,1,0,FIFA World Cup qualification
9/4/2021,Israel,Austria,5,2,FIFA World Cup qualification
9/4/2021,Latvia,Norway,0,2,FIFA World Cup qualification
9/4/2021,Gibraltar,Turkey,0,3,FIFA World Cup qualification
9/4/2021,Netherlands,Montenegro,4,0,FIFA World Cup qualification
9/4/2021,Slovenia,Malta,1,0,FIFA World Cup qualification
9/4/2021,Cyprus,Russia,0,2,FIFA World Cup qualification
9/4/2021,Slovakia,Croatia,0,1,FIFA World Cup qualification
9/5/2021,Bangladesh,Palestine,0,2,Three Nations Cup
9/5/2021,Rwanda,Kenya,1,1,FIFA World Cup qualification
9/5/2021,Gabon,Egypt,1,1,FIFA World Cup qualification
9/5/2021,Togo,Namibia,0,1,FIFA World Cup qualification
9/5/2021,Kosovo,Greece,1,1,FIFA World Cup qualification
9/5/2021,Spain,Georgia,4,0,FIFA World Cup qualification
9/5/2021,Bulgaria,Lithuania,1,0,FIFA World Cup qualification
9/5/2021,Switzerland,Italy,0,0,FIFA World Cup qualification
9/5/2021,Belarus,Wales,2,3,FIFA World Cup qualification
9/5/2021,Belgium,Czech Republic,3,0,FIFA World Cup qualification
9/5/2021,England,Andorra,4,0,FIFA World Cup qualification
9/5/2021,Albania,Hungary,1,0,FIFA World Cup qualification
9/5/2021,San Marino,Poland,1,7,FIFA World Cup qualification
9/5/2021,Iceland,North Macedonia,2,2,FIFA World Cup qualification
9/5/2021,Germany,Armenia,6,0,FIFA World Cup qualification
9/5/2021,Romania,Liechtenstein,2,0,FIFA World Cup qualification
9/5/2021,Ecuador,Chile,0,0,FIFA World Cup qualification
9/5/2021,Paraguay,Colombia,1,1,FIFA World Cup qualification
9/5/2021,Uruguay,Bolivia,4,2,FIFA World Cup qualification
9/5/2021,Peru,Venezuela,1,0,FIFA World Cup qualification
9/5/2021,Costa Rica,Mexico,0,1,FIFA World Cup qualification
9/5/2021,El Salvador,Honduras,0,0,FIFA World Cup qualification
9/5/2021,Jamaica,Panama,0,3,FIFA World Cup qualification
9/5/2021,United States,Canada,1,1,FIFA World Cup qualification
9/6/2021,Djibouti,Niger,2,4,FIFA World Cup qualification
9/6/2021,Liberia,Central African Republic,1,0,FIFA World Cup qualification
9/6/2021,Ivory Coast,Cameroon,2,1,FIFA World Cup qualification
9/6/2021,Uganda,Mali,0,0,FIFA World Cup qualification
9/6/2021,South Africa,Ghana,1,0,FIFA World Cup qualification
9/6/2021,Benin,DR Congo,1,1,FIFA World Cup qualification
9/7/2021,Kyrgyzstan,Bangladesh,4,1,Three Nations Cup
9/7/2021,Burkina Faso,Algeria,1,1,FIFA World Cup qualification
9/7/2021,Zambia,Tunisia,0,2,FIFA World Cup qualification
9/7/2021,Equatorial Guinea,Mauritania,1,0,FIFA World Cup qualification
9/7/2021,Cape Verde,Nigeria,1,2,FIFA World Cup qualification
9/7/2021,Malawi,Mozambique,1,0,FIFA World Cup qualification
9/7/2021,Angola,Libya,0,1,FIFA World Cup qualification
9/7/2021,Ethiopia,Zimbabwe,1,0,FIFA World Cup qualification
9/7/2021,Congo,Senegal,1,3,FIFA World Cup qualification
9/7/2021,Sudan,Guinea-Bissau,2,4,FIFA World Cup qualification
9/7/2021,Tanzania,Madagascar,3,2,FIFA World Cup qualification
9/7/2021,Syria,United Arab Emirates,1,1,FIFA World Cup qualification
9/7/2021,South Korea,Lebanon,1,0,FIFA World Cup qualification
9/7/2021,Iraq,Iran,0,3,FIFA World Cup qualification
9/7/2021,China PR,Japan,0,1,FIFA World Cup qualification
9/7/2021,Vietnam,Australia,0,1,FIFA World Cup qualification
9/7/2021,Oman,Saudi Arabia,0,1,FIFA World Cup qualification
9/7/2021,Republic of Ireland,Serbia,1,1,FIFA World Cup qualification
9/7/2021,Azerbaijan,Portugal,0,3,FIFA World Cup qualification
9/7/2021,Bosnia and Herzegovina,Kazakhstan,2,2,FIFA World Cup qualification
9/7/2021,France,Finland,2,0,FIFA World Cup qualification
9/7/2021,Faroe Islands,Moldova,2,1,FIFA World Cup qualification
9/7/2021,Austria,Scotland,0,1,FIFA World Cup qualification
9/7/2021,Denmark,Israel,5,0,FIFA World Cup qualification
9/7/2021,Montenegro,Latvia,0,0,FIFA World Cup qualification
9/7/2021,Netherlands,Turkey,6,1,FIFA World Cup qualification
9/7/2021,Norway,Gibraltar,5,1,FIFA World Cup qualification
9/7/2021,Croatia,Slovenia,3,0,FIFA World Cup qualification
9/7/2021,Slovakia,Cyprus,2,0,FIFA World Cup qualification
9/7/2021,Russia,Malta,2,0,FIFA World Cup qualification
9/8/2021,Kosovo,Spain,0,2,FIFA World Cup qualification
9/8/2021,Greece,Sweden,2,1,FIFA World Cup qualification
9/8/2021,Northern Ireland,Switzerland,0,0,FIFA World Cup qualification
9/8/2021,Italy,Lithuania,5,0,FIFA World Cup qualification
9/8/2021,Wales,Estonia,0,0,FIFA World Cup qualification
9/8/2021,Belarus,Belgium,0,1,FIFA World Cup qualification
9/8/2021,Albania,San Marino,5,0,FIFA World Cup qualification
9/8/2021,Hungary,Andorra,2,1,FIFA World Cup qualification
9/8/2021,Poland,England,1,1,FIFA World Cup qualification
9/8/2021,Iceland,Germany,0,4,FIFA World Cup qualification
9/8/2021,Armenia,Liechtenstein,1,1,FIFA World Cup qualification
9/8/2021,North Macedonia,Romania,0,0,FIFA World Cup qualification
9/8/2021,Costa Rica,Jamaica,1,1,FIFA World Cup qualification
9/8/2021,Panama,Mexico,1,1,FIFA World Cup qualification
9/8/2021,Canada,El Salvador,3,0,FIFA World Cup qualification
9/8/2021,Honduras,United States,1,4,FIFA World Cup qualification
9/9/2021,Colombia,Chile,3,1,FIFA World Cup qualification
9/9/2021,Paraguay,Venezuela,2,1,FIFA World Cup qualification
9/9/2021,Uruguay,Ecuador,1,0,FIFA World Cup qualification
9/9/2021,Argentina,Bolivia,3,0,FIFA World Cup qualification
9/9/2021,Brazil,Peru,2,0,FIFA World Cup qualification
10/1/2021,Sri Lanka,Bangladesh,0,1,SAFF Cup
10/1/2021,Maldives,Nepal,0,1,SAFF Cup
10/4/2021,Bangladesh,India,1,1,SAFF Cup
10/4/2021,Sri Lanka,Nepal,2,3,SAFF Cup
10/6/2021,Sudan,Guinea,1,1,FIFA World Cup qualification
10/6/2021,Morocco,Guinea-Bissau,5,0,FIFA World Cup qualification
10/6/2021,Italy,Spain,1,2,UEFA Nations League
10/7/2021,Iraq,Lebanon,0,0,FIFA World Cup qualification
10/7/2021,South Korea,Syria,2,1,FIFA World Cup qualification
10/7/2021,United Arab Emirates,Iran,0,1,FIFA World Cup qualification
10/7/2021,Saudi Arabia,Japan,1,0,FIFA World Cup qualification
10/7/2021,China PR,Vietnam,3,2,FIFA World Cup qualification
10/7/2021,Australia,Oman,3,1,FIFA World Cup qualification
10/7/2021,Honduras,Costa Rica,0,0,FIFA World Cup qualification
10/7/2021,United States,Jamaica,2,0,FIFA World Cup qualification
10/7/2021,El Salvador,Panama,1,0,FIFA World Cup qualification
10/7/2021,Mexico,Canada,1,1,FIFA World Cup qualification
10/7/2021,Equatorial Guinea,Zambia,2,0,FIFA World Cup qualification
10/7/2021,Tunisia,Mauritania,3,0,FIFA World Cup qualification
10/7/2021,Liberia,Cape Verde,1,2,FIFA World Cup qualification
10/7/2021,Nigeria,Central African Republic,0,1,FIFA World Cup qualification
10/7/2021,Rwanda,Uganda,0,1,FIFA World Cup qualification
10/7/2021,Mali,Kenya,5,0,FIFA World Cup qualification
10/7/2021,DR Congo,Madagascar,2,0,FIFA World Cup qualification
10/7/2021,Tanzania,Benin,0,1,FIFA World Cup qualification
10/7/2021,Ecuador,Bolivia,3,0,FIFA World Cup qualification
10/7/2021,Venezuela,Brazil,1,3,FIFA World Cup qualification
10/7/2021,Paraguay,Argentina,0,0,FIFA World Cup qualification
10/7/2021,Peru,Chile,2,0,FIFA World Cup qualification
10/7/2021,Uruguay,Colombia,0,0,FIFA World Cup qualification
10/7/2021,Indonesia,Taiwan,2,1,AFC Asian Cup qualification
10/7/2021,India,Sri Lanka,0,0,SAFF Cup
10/7/2021,Maldives,Bangladesh,2,0,SAFF Cup
10/7/2021,Belgium,France,2,3,UEFA Nations League
10/8/2021,Czech Republic,Wales,2,2,FIFA World Cup qualification
10/8/2021,Estonia,Belarus,2,0,FIFA World Cup qualification
10/8/2021,Gibraltar,Montenegro,0,3,FIFA World Cup qualification
10/8/2021,Latvia,Netherlands,0,1,FIFA World Cup qualification
10/8/2021,Turkey,Norway,1,1,FIFA World Cup qualification
10/8/2021,Malta,Slovenia,0,4,FIFA World Cup qualification
10/8/2021,Cyprus,Croatia,0,3,FIFA World Cup qualification
10/8/2021,Russia,Slovakia,1,0,FIFA World Cup qualification
10/8/2021,Iceland,Armenia,1,1,FIFA World Cup qualification
10/8/2021,Germany,Romania,2,1,FIFA World Cup qualification
10/8/2021,Liechtenstein,North Macedonia,0,4,FIFA World Cup qualification
10/8/2021,Algeria,Niger,6,1,FIFA World Cup qualification
10/8/2021,Djibouti,Burkina Faso,0,4,FIFA World Cup qualification
10/8/2021,Malawi,Ivory Coast,0,3,FIFA World Cup qualification
10/8/2021,Cameroon,Mozambique,3,1,FIFA World Cup qualification
10/8/2021,Angola,Gabon,3,1,FIFA World Cup qualification
10/8/2021,Egypt,Libya,1,0,FIFA World Cup qualification
10/9/2021,Azerbaijan,Republic of Ireland,0,3,FIFA World Cup qualification
10/9/2021,Luxembourg,Serbia,0,1,FIFA World Cup qualification
10/9/2021,Sweden,Kosovo,3,0,FIFA World Cup qualification
10/9/2021,Georgia,Greece,0,2,FIFA World Cup qualification
10/9/2021,Lithuania,Bulgaria,3,1,FIFA World Cup qualification
10/9/2021,Switzerland,Northern Ireland,2,0,FIFA World Cup qualification
10/9/2021,Finland,Ukraine,1,2,FIFA World Cup qualification
10/9/2021,Kazakhstan,Bosnia and Herzegovina,0,2,FIFA World Cup qualification
10/9/2021,Scotland,Israel,3,2,FIFA World Cup qualification
10/9/2021,Faroe Islands,Austria,0,2,FIFA World Cup qualification
10/9/2021,Moldova,Denmark,0,4,FIFA World Cup qualification
10/9/2021,Andorra,England,0,5,FIFA World Cup qualification
10/9/2021,Hungary,Albania,0,1,FIFA World Cup qualification
10/9/2021,Poland,San Marino,5,0,FIFA World Cup qualification
10/9/2021,Ethiopia,South Africa,1,3,FIFA World Cup qualification
10/9/2021,Ghana,Zimbabwe,3,1,FIFA World Cup qualification
10/9/2021,Togo,Congo,1,1,FIFA World Cup qualification
10/9/2021,Senegal,Namibia,4,1,FIFA World Cup qualification
10/9/2021,Guinea,Sudan,2,2,FIFA World Cup qualification
10/9/2021,Guam,Cambodia,0,1,AFC Asian Cup qualification
10/9/2021,Morocco,Guinea-Bissau,3,0,FIFA World Cup qualification
10/10/2021,Costa Rica,El Salvador,2,1,FIFA World Cup qualification
10/10/2021,Jamaica,Canada,0,0,FIFA World Cup qualification
10/10/2021,Panama,United States,1,0,FIFA World Cup qualification
10/10/2021,Mexico,Honduras,3,0,FIFA World Cup qualification
10/10/2021,Zambia,Equatorial Guinea,1,1,FIFA World Cup qualification
10/10/2021,Mauritania,Tunisia,0,0,FIFA World Cup qualification
10/10/2021,Central African Republic,Nigeria,0,2,FIFA World Cup qualification
10/10/2021,Cape Verde,Liberia,1,0,FIFA World Cup qualification
10/10/2021,Kenya,Mali,0,1,FIFA World Cup qualification
10/10/2021,Uganda,Rwanda,1,0,FIFA World Cup qualification
10/10/2021,Benin,Tanzania,0,1,FIFA World Cup qualification
10/10/2021,Madagascar,DR Congo,1,0,FIFA World Cup qualification
10/10/2021,Bolivia,Peru,1,0,FIFA World Cup qualification
10/10/2021,Colombia,Brazil,0,0,FIFA World Cup qualification
10/10/2021,Venezuela,Ecuador,2,1,FIFA World Cup qualification
10/10/2021,Argentina,Uruguay,3,0,FIFA World Cup qualification
10/10/2021,Chile,Paraguay,2,0,FIFA World Cup qualification
10/10/2021,Maldives,Sri Lanka,1,0,SAFF Cup
10/10/2021,Nepal,India,0,1,SAFF Cup
10/10/2021,Italy,Belgium,2,1,UEFA Nations League
10/10/2021,Spain,France,1,2,UEFA Nations League
10/11/2021,Belarus,Czech Republic,0,2,FIFA World Cup qualification
10/11/2021,Estonia,Wales,0,1,FIFA World Cup qualification
10/11/2021,Netherlands,Gibraltar,6,0,FIFA World Cup qualification
10/11/2021,Norway,Montenegro,2,0,FIFA World Cup qualification
10/11/2021,Latvia,Turkey,1,2,FIFA World Cup qualification
10/11/2021,Cyprus,Malta,2,2,FIFA World Cup qualification
10/11/2021,Croatia,Slovakia,2,2,FIFA World Cup qualification
10/11/2021,Slovenia,Russia,1,2,FIFA World Cup qualification
10/11/2021,Iceland,Liechtenstein,4,0,FIFA World Cup qualification
10/11/2021,North Macedonia,Germany,0,4,FIFA World Cup qualification
10/11/2021,Romania,Armenia,1,0,FIFA World Cup qualification
10/11/2021,Burkina Faso,Djibouti,2,0,FIFA World Cup qualification
10/11/2021,Mozambique,Cameroon,0,1,FIFA World Cup qualification
10/11/2021,Ivory Coast,Malawi,2,1,FIFA World Cup qualification
10/11/2021,Gabon,Angola,2,0,FIFA World Cup qualification
10/11/2021,Libya,Egypt,0,3,FIFA World Cup qualification
10/11/2021,Taiwan,Indonesia,0,3,AFC Asian Cup qualification
10/12/2021,Iran,South Korea,1,1,FIFA World Cup qualification
10/12/2021,Syria,Lebanon,2,3,FIFA World Cup qualification
10/12/2021,United Arab Emirates,Iraq,2,2,FIFA World Cup qualification
10/12/2021,Japan,Australia,2,1,FIFA World Cup qualification
10/12/2021,Oman,Vietnam,3,1,FIFA World Cup qualification
10/12/2021,Saudi Arabia,China PR,3,2,FIFA World Cup qualification
10/12/2021,Portugal,Luxembourg,5,0,FIFA World Cup qualification
10/12/2021,Serbia,Azerbaijan,3,1,FIFA World Cup qualification
10/12/2021,Kosovo,Georgia,1,2,FIFA World Cup qualification
10/12/2021,Sweden,Greece,2,0,FIFA World Cup qualification
10/12/2021,Bulgaria,Northern Ireland,2,1,FIFA World Cup qualification
10/12/2021,Lithuania,Switzerland,0,4,FIFA World Cup qualification
10/12/2021,Kazakhstan,Finland,0,2,FIFA World Cup qualification
10/12/2021,Ukraine,Bosnia and Herzegovina,1,1,FIFA World Cup qualification
10/12/2021,Faroe Islands,Scotland,0,1,FIFA World Cup qualification
10/12/2021,Denmark,Austria,1,0,FIFA World Cup qualification
10/12/2021,Israel,Moldova,2,1,FIFA World Cup qualification
10/12/2021,England,Hungary,1,1,FIFA World Cup qualification
10/12/2021,Albania,Poland,0,1,FIFA World Cup qualification
10/12/2021,San Marino,Andorra,0,3,FIFA World Cup qualification
10/12/2021,Niger,Algeria,0,4,FIFA World Cup qualification
10/12/2021,Zimbabwe,Ghana,0,1,FIFA World Cup qualification
10/12/2021,South Africa,Ethiopia,1,0,FIFA World Cup qualification
10/12/2021,Namibia,Senegal,1,3,FIFA World Cup qualification
10/12/2021,Congo,Togo,1,2,FIFA World Cup qualification
10/12/2021,Cambodia,Guam,2,1,AFC Asian Cup qualification
10/12/2021,Morocco,Guinea,4,1,FIFA World Cup qualification
10/13/2021,Honduras,Jamaica,0,2,FIFA World Cup qualification
10/13/2021,United States,Costa Rica,2,1,FIFA World Cup qualification
10/13/2021,Canada,Panama,4,1,FIFA World Cup qualification
10/13/2021,El Salvador,Mexico,0,2,FIFA World Cup qualification
10/13/2021,Bangladesh,Nepal,1,1,SAFF Cup
10/13/2021,Maldives,India,1,3,SAFF Cup
10/14/2021,Bolivia,Paraguay,4,0,FIFA World Cup qualification
10/14/2021,Colombia,Ecuador,0,0,FIFA World Cup qualification
10/14/2021,Argentina,Peru,1,0,FIFA World Cup qualification
10/14/2021,Brazil,Uruguay,4,1,FIFA World Cup qualification
10/14/2021,Chile,Venezuela,3,0,FIFA World Cup qualification
10/16/2021,India,Nepal,3,0,SAFF Cup
11/9/2021,Sri Lanka,Maldives,4,4,Mahinda Rajapaksa Cup
11/10/2021,Bangladesh,Seychelles,1,1,Mahinda Rajapaksa Cup
11/11/2021,Uganda,Kenya,1,1,FIFA World Cup qualification
11/11/2021,Rwanda,Mali,0,3,FIFA World Cup qualification
11/11/2021,Ethiopia,Ghana,1,1,FIFA World Cup qualification
11/11/2021,South Africa,Zimbabwe,1,0,FIFA World Cup qualification
11/11/2021,Congo,Namibia,1,1,FIFA World Cup qualification
11/11/2021,Togo,Senegal,1,1,FIFA World Cup qualification
11/11/2021,Tanzania,DR Congo,0,3,FIFA World Cup qualification
11/11/2021,Benin,Madagascar,2,0,FIFA World Cup qualification
11/11/2021,Lebanon,Iran,1,2,FIFA World Cup qualification
11/11/2021,Iraq,Syria,1,1,FIFA World Cup qualification
11/11/2021,South Korea,United Arab Emirates,1,0,FIFA World Cup qualification
11/11/2021,China PR,Oman,1,1,FIFA World Cup qualification
11/11/2021,Vietnam,Japan,0,1,FIFA World Cup qualification
11/11/2021,Australia,Saudi Arabia,0,0,FIFA World Cup qualification
11/11/2021,Republic of Ireland,Portugal,0,0,FIFA World Cup qualification
11/11/2021,Azerbaijan,Luxembourg,1,3,FIFA World Cup qualification
11/11/2021,Georgia,Sweden,2,0,FIFA World Cup qualification
11/11/2021,Greece,Spain,0,1,FIFA World Cup qualification
11/11/2021,Russia,Cyprus,6,0,FIFA World Cup qualification
11/11/2021,Malta,Croatia,1,7,FIFA World Cup qualification
11/11/2021,Slovakia,Slovenia,2,2,FIFA World Cup qualification
11/11/2021,Germany,Liechtenstein,9,0,FIFA World Cup qualification
11/11/2021,Armenia,North Macedonia,0,5,FIFA World Cup qualification
11/11/2021,Romania,Iceland,0,0,FIFA World Cup qualification
11/11/2021,Ecuador,Venezuela,1,0,FIFA World Cup qualification
11/11/2021,Paraguay,Chile,0,1,FIFA World Cup qualification
11/11/2021,Peru,Bolivia,3,0,FIFA World Cup qualification
11/11/2021,Brazil,Colombia,1,0,FIFA World Cup qualification
11/12/2021,Burkina Faso,Niger,1,1,FIFA World Cup qualification
11/12/2021,Djibouti,Algeria,0,4,FIFA World Cup qualification
11/12/2021,Gabon,Libya,1,0,FIFA World Cup qualification
11/12/2021,Angola,Egypt,2,2,FIFA World Cup qualification
11/12/2021,Guinea,Guinea-Bissau,0,0,FIFA World Cup qualification
11/12/2021,Morocco,Sudan,3,0,FIFA World Cup qualification
11/12/2021,Canada,Costa Rica,1,0,FIFA World Cup qualification
11/12/2021,Honduras,Panama,2,3,FIFA World Cup qualification
11/12/2021,El Salvador,Jamaica,1,1,FIFA World Cup qualification
11/12/2021,United States,Mexico,2,0,FIFA World Cup qualification
11/12/2021,Northern Ireland,Lithuania,1,0,FIFA World Cup qualification
11/12/2021,Italy,Switzerland,1,1,FIFA World Cup qualification
11/12/2021,Moldova,Scotland,0,2,FIFA World Cup qualification
11/12/2021,Denmark,Faroe Islands,3,1,FIFA World Cup qualification
11/12/2021,Austria,Israel,4,2,FIFA World Cup qualification
11/12/2021,England,Albania,5,0,FIFA World Cup qualification
11/12/2021,Andorra,Poland,1,4,FIFA World Cup qualification
11/12/2021,Hungary,San Marino,4,0,FIFA World Cup qualification
11/12/2021,Uruguay,Argentina,0,1,FIFA World Cup qualification
11/13/2021,Bangladesh,Maldives,2,1,Mahinda Rajapaksa Cup
11/13/2021,Sri Lanka,Seychelles,0,1,Mahinda Rajapaksa Cup
11/13/2021,Zambia,Mauritania,4,0,FIFA World Cup qualification
11/13/2021,Equatorial Guinea,Tunisia,1,0,FIFA World Cup qualification
11/13/2021,Cape Verde,Central African Republic,2,1,FIFA World Cup qualification
11/13/2021,Liberia,Nigeria,0,2,FIFA World Cup qualification
11/13/2021,Malawi,Cameroon,0,4,FIFA World Cup qualification
11/13/2021,Ivory Coast,Mozambique,3,0,FIFA World Cup qualification
11/13/2021,Bosnia and Herzegovina,Finland,1,3,FIFA World Cup qualification
11/13/2021,France,Kazakhstan,8,0,FIFA World Cup qualification
11/13/2021,Wales,Belarus,5,1,FIFA World Cup qualification
11/13/2021,Belgium,Estonia,3,1,FIFA World Cup qualification
11/13/2021,Norway,Latvia,0,0,FIFA World Cup qualification
11/13/2021,Turkey,Gibraltar,6,0,FIFA World Cup qualification
11/13/2021,Montenegro,Netherlands,2,2,FIFA World Cup qualification
11/14/2021,Mali,Uganda,1,0,FIFA World Cup qualification
11/14/2021,Zimbabwe,Ethiopia,1,1,FIFA World Cup qualification
11/14/2021,Ghana,South Africa,1,0,FIFA World Cup qualification
11/14/2021,Senegal,Congo,2,0,FIFA World Cup qualification
11/14/2021,DR Congo,Benin,2,0,FIFA World Cup qualification
11/14/2021,Madagascar,Tanzania,1,1,FIFA World Cup qualification
11/14/2021,Portugal,Serbia,1,2,FIFA World Cup qualification
11/14/2021,Luxembourg,Republic of Ireland,0,3,FIFA World Cup qualification
11/14/2021,Spain,Sweden,1,0,FIFA World Cup qualification
11/14/2021,Greece,Kosovo,1,1,FIFA World Cup qualification
11/14/2021,Croatia,Russia,1,0,FIFA World Cup qualification
11/14/2021,Malta,Slovakia,0,6,FIFA World Cup qualification
11/14/2021,Slovenia,Cyprus,2,1,FIFA World Cup qualification
11/14/2021,Liechtenstein,Romania,0,2,FIFA World Cup qualification
11/14/2021,North Macedonia,Iceland,3,1,FIFA World Cup qualification
11/14/2021,Armenia,Germany,1,4,FIFA World Cup qualification
11/15/2021,Niger,Djibouti,7,2,FIFA World Cup qualification
11/15/2021,Kenya,Rwanda,2,1,FIFA World Cup qualification
11/15/2021,Namibia,Togo,0,1,FIFA World Cup qualification
11/15/2021,Guinea-Bissau,Sudan,0,0,FIFA World Cup qualification
11/15/2021,Northern Ireland,Italy,0,0,FIFA World Cup qualification
11/15/2021,Switzerland,Bulgaria,4,0,FIFA World Cup qualification
11/15/2021,Scotland,Denmark,2,0,FIFA World Cup qualification
11/15/2021,Austria,Moldova,4,1,FIFA World Cup qualification
11/15/2021,Israel,Faroe Islands,3,2,FIFA World Cup qualification
11/15/2021,Albania,Andorra,1,0,FIFA World Cup qualification
11/15/2021,Poland,Hungary,1,2,FIFA World Cup qualification
11/15/2021,San Marino,England,0,10,FIFA World Cup qualification
11/16/2021,Maldives,Seychelles,0,0,Mahinda Rajapaksa Cup
11/16/2021,Sri Lanka,Bangladesh,2,1,Mahinda Rajapaksa Cup
11/16/2021,Algeria,Burkina Faso,2,2,FIFA World Cup qualification
11/16/2021,Mauritania,Equatorial Guinea,1,1,FIFA World Cup qualification
11/16/2021,Tunisia,Zambia,3,1,FIFA World Cup qualification
11/16/2021,Liberia,Central African Republic,3,1,FIFA World Cup qualification
11/16/2021,Nigeria,Cape Verde,1,1,FIFA World Cup qualification
11/16/2021,Mozambique,Malawi,1,0,FIFA World Cup qualification
11/16/2021,Cameroon,Ivory Coast,1,0,FIFA World Cup qualification
11/16/2021,Egypt,Gabon,2,1,FIFA World Cup qualification
11/16/2021,Libya,Angola,1,1,FIFA World Cup qualification
11/16/2021,Morocco,Guinea,3,0,FIFA World Cup qualification
11/16/2021,Lebanon,United Arab Emirates,0,1,FIFA World Cup qualification
11/16/2021,Iraq,South Korea,0,3,FIFA World Cup qualification
11/16/2021,Syria,Iran,0,3,FIFA World Cup qualification
11/16/2021,China PR,Australia,1,1,FIFA World Cup qualification
11/16/2021,Vietnam,Saudi Arabia,0,1,FIFA World Cup qualification
11/16/2021,Oman,Japan,0,1,FIFA World Cup qualification
11/16/2021,Jamaica,United States,1,1,FIFA World Cup qualification
11/16/2021,Canada,Mexico,2,1,FIFA World Cup qualification
11/16/2021,Costa Rica,Honduras,2,1,FIFA World Cup qualification
11/16/2021,Panama,El Salvador,2,1,FIFA World Cup qualification
11/16/2021,Bosnia and Herzegovina,Ukraine,0,2,FIFA World Cup qualification
11/16/2021,Finland,France,0,2,FIFA World Cup qualification
11/16/2021,Wales,Belgium,1,1,FIFA World Cup qualification
11/16/2021,Czech Republic,Estonia,2,0,FIFA World Cup qualification
11/16/2021,Gibraltar,Latvia,1,3,FIFA World Cup qualification
11/16/2021,Montenegro,Turkey,1,2,FIFA World Cup qualification
11/16/2021,Netherlands,Norway,2,0,FIFA World Cup qualification
11/16/2021,Bolivia,Uruguay,3,0,FIFA World Cup qualification
11/16/2021,Venezuela,Peru,1,2,FIFA World Cup qualification
11/16/2021,Colombia,Paraguay,0,0,FIFA World Cup qualification
11/16/2021,Argentina,Brazil,0,0,FIFA World Cup qualification
11/16/2021,Chile,Ecuador,0,2,FIFA World Cup qualification
